image,name,age,crime,last_seen
000001.jpg,Rahul Sharma,50,Burglary,Hubli
000002.jpg,Arjun Patel,58,Fraud,Belagavi
000003.jpg,Nikhil Sharma,33,Smuggling,Tumakuru
000004.jpg,Prakash Yadav,43,Forgery,Dharwad
000005.jpg,Manoj Sharma,24,Theft,Shivamogga
000006.jpg,Varun Joshi,45,Theft,Shivamogga
000007.jpg,Anil Sharma,43,Smuggling,Mysore
000008.jpg,Vivek Naik,30,Vehicle Theft,Shivamogga
000009.jpg,Rahul Shetty,22,Cyber Crime,Shivamogga
000010.jpg,Deepak Nair,49,Vehicle Theft,Tumakuru
000011.jpg,Karthik Joshi,35,Forgery,Udupi
000012.jpg,Ajay Rao,49,Kidnapping,Bangalore
000013.jpg,Karthik Nair,37,Robbery,Udupi
000014.jpg,Ajay Das,47,Fraud,Udupi
000015.jpg,Manoj Gupta,43,Assault,Belagavi
000016.jpg,Manoj Nair,37,Vehicle Theft,Udupi
000017.jpg,Suresh Naik,26,Assault,Tumakuru
000018.jpg,Rahul Gupta,49,Kidnapping,Dharwad
000019.jpg,Prakash Verma,44,Burglary,Udupi
000020.jpg,Vivek Rao,34,Smuggling,Kalaburagi
000021.jpg,Deepak Rao,54,Smuggling,Mysore
000022.jpg,Vijay Kumar,57,Vehicle Theft,Shivamogga
000023.jpg,Arjun Reddy,20,Vehicle Theft,Mysore
000024.jpg,Arjun Joshi,42,Theft,Shivamogga
000025.jpg,Vijay Reddy,38,Assault,Tumakuru
000026.jpg,Manoj Singh,53,Assault,Tumakuru
000027.jpg,Karthik Singh,36,Forgery,Shivamogga
000028.jpg,Varun Singh,47,Robbery,Kalaburagi
000029.jpg,Sunil Naik,48,Robbery,Tumakuru
000030.jpg,Sunil Shetty,55,Vehicle Theft,Belagavi
000031.jpg,Sunil Nair,49,Assault,Dharwad
000032.jpg,Rahul Patel,46,Cyber Crime,Bangalore
000033.jpg,Nikhil Kumar,30,Kidnapping,Kalaburagi
000034.jpg,Prakash Rao,54,Forgery,Hubli
000035.jpg,Arjun Nair,30,Forgery,Bangalore
000036.jpg,Suresh Gowda,41,Burglary,Belagavi
000037.jpg,Rahul Sharma,34,Assault,Tumakuru
000038.jpg,Amit Rao,28,Robbery,Tumakuru
000039.jpg,Anil Reddy,35,Kidnapping,Udupi
000040.jpg,Vivek Patel,33,Vehicle Theft,Mangalore
000041.jpg,Ravi Joshi,23,Fraud,Belagavi
000042.jpg,Anil Reddy,23,Vehicle Theft,Udupi
000043.jpg,Sunil Patel,36,Fraud,Hubli
000044.jpg,Sunil Kumar,53,Forgery,Hubli
000045.jpg,Deepak Rao,48,Cyber Crime,Shivamogga
000046.jpg,Manoj Kumar,28,Smuggling,Bangalore
000047.jpg,Prakash Naik,51,Burglary,Kalaburagi
000048.jpg,Amit Nair,53,Assault,Mysore
000049.jpg,Amit Gupta,39,Assault,Mangalore
000050.jpg,Manoj Naik,55,Cyber Crime,Mysore
000051.jpg,Sunil Nair,55,Forgery,Hubli
000052.jpg,Varun Gupta,44,Smuggling,Mysore
000053.jpg,Ajay Das,43,Burglary,Mysore
000054.jpg,Anil Das,36,Theft,Shivamogga
000055.jpg,Varun Das,49,Kidnapping,Kalaburagi
000056.jpg,Ravi Sharma,58,Vehicle Theft,Mysore
000057.jpg,Nikhil Naik,53,Burglary,Mysore
000058.jpg,Anil Patel,50,Vehicle Theft,Udupi
000059.jpg,Suresh Nair,48,Forgery,Belagavi
000060.jpg,Kiran Yadav,55,Burglary,Mysore
000061.jpg,Rohan Joshi,54,Forgery,Tumakuru
000062.jpg,Manoj Patel,34,Forgery,Shivamogga
000063.jpg,Vivek Yadav,25,Burglary,Udupi
000064.jpg,Rohan Naik,26,Cyber Crime,Hubli
000065.jpg,Mahesh Gupta,50,Kidnapping,Hubli
000066.jpg,Anil Shetty,29,Forgery,Belagavi
000067.jpg,Amit Gupta,38,Burglary,Tumakuru
000068.jpg,Sunil Yadav,27,Robbery,Mysore
000069.jpg,Suresh Verma,29,Theft,Tumakuru
000070.jpg,Karthik Rao,52,Fraud,Belagavi
000071.jpg,Rohan Das,20,Cyber Crime,Mangalore
000072.jpg,Rahul Das,26,Assault,Udupi
000073.jpg,Akash Shetty,49,Smuggling,Shivamogga
000074.jpg,Manoj Sharma,26,Vehicle Theft,Udupi
000075.jpg,Kiran Patel,30,Smuggling,Mysore
000076.jpg,Rohan Das,58,Burglary,Shivamogga
000077.jpg,Vijay Das,48,Theft,Hubli
000078.jpg,Karthik Reddy,59,Fraud,Tumakuru
000079.jpg,Vijay Gowda,42,Fraud,Mangalore
000080.jpg,Kiran Sharma,29,Assault,Belagavi
000081.jpg,Vijay Singh,21,Smuggling,Mysore
000082.jpg,Vivek Rao,37,Forgery,Belagavi
000083.jpg,Karthik Patel,47,Kidnapping,Kalaburagi
000084.jpg,Anil Sharma,50,Theft,Tumakuru
000085.jpg,Rohan Das,56,Assault,Mysore
000086.jpg,Vivek Joshi,35,Vehicle Theft,Kalaburagi
000087.jpg,Varun Nair,34,Vehicle Theft,Bangalore
000088.jpg,Varun Reddy,45,Burglary,Tumakuru
000089.jpg,Amit Nair,20,Kidnapping,Udupi
000090.jpg,Kiran Shetty,57,Assault,Shivamogga
000091.jpg,Sunil Rao,50,Theft,Mangalore
000092.jpg,Ravi Naik,42,Smuggling,Belagavi
000093.jpg,Vivek Shetty,60,Theft,Tumakuru
000094.jpg,Suresh Sharma,41,Kidnapping,Kalaburagi
000095.jpg,Varun Gowda,52,Kidnapping,Dharwad
000096.jpg,Prakash Patel,31,Smuggling,Shivamogga
000097.jpg,Ajay Das,57,Robbery,Dharwad
000098.jpg,Amit Kumar,49,Forgery,Belagavi
000099.jpg,Manoj Nair,25,Smuggling,Udupi
000100.jpg,Nikhil Nair,37,Forgery,Kalaburagi
000101.jpg,Varun Naik,25,Theft,Udupi
000102.jpg,Vivek Sharma,33,Theft,Mysore
000103.jpg,Sunil Sharma,48,Forgery,Kalaburagi
000104.jpg,Sunil Yadav,55,Robbery,Belagavi
000105.jpg,Karthik Gowda,48,Cyber Crime,Mysore
000106.jpg,Rahul Gowda,43,Vehicle Theft,Mysore
000107.jpg,Karthik Gowda,29,Robbery,Shivamogga
000108.jpg,Manoj Naik,44,Burglary,Udupi
000109.jpg,Prakash Gupta,45,Vehicle Theft,Belagavi
000110.jpg,Amit Yadav,23,Theft,Kalaburagi
000111.jpg,Sunil Gupta,57,Cyber Crime,Mangalore
000112.jpg,Nikhil Joshi,47,Forgery,Mangalore
000113.jpg,Anil Verma,40,Theft,Kalaburagi
000114.jpg,Vijay Joshi,48,Burglary,Belagavi
000115.jpg,Karthik Shetty,29,Forgery,Hubli
000116.jpg,Suresh Patel,42,Kidnapping,Udupi
000117.jpg,Varun Reddy,26,Vehicle Theft,Hubli
000118.jpg,Varun Reddy,31,Forgery,Shivamogga
000119.jpg,Deepak Gowda,22,Cyber Crime,Mangalore
000120.jpg,Rohan Nair,60,Kidnapping,Mysore
000121.jpg,Anil Naik,51,Forgery,Belagavi
000122.jpg,Sunil Naik,51,Assault,Shivamogga
000123.jpg,Mahesh Naik,50,Smuggling,Mysore
000124.jpg,Manoj Patel,26,Kidnapping,Mysore
000125.jpg,Arjun Gupta,24,Theft,Tumakuru
000126.jpg,Suresh Rao,31,Theft,Mangalore
000127.jpg,Rahul Gupta,48,Vehicle Theft,Udupi
000128.jpg,Rahul Joshi,50,Robbery,Shivamogga
000129.jpg,Anil Verma,21,Theft,Tumakuru
000130.jpg,Ajay Verma,36,Fraud,Dharwad
000131.jpg,Sunil Rao,27,Cyber Crime,Udupi
000132.jpg,Vivek Sharma,53,Vehicle Theft,Mangalore
000133.jpg,Ajay Kumar,31,Burglary,Hubli
000134.jpg,Akash Rao,35,Vehicle Theft,Mangalore
000135.jpg,Varun Sharma,22,Robbery,Tumakuru
000136.jpg,Deepak Sharma,54,Assault,Mangalore
000137.jpg,Varun Singh,32,Burglary,Bangalore
000138.jpg,Rohan Verma,29,Burglary,Bangalore
000139.jpg,Suresh Sharma,42,Fraud,Dharwad
000140.jpg,Ravi Naik,58,Assault,Tumakuru
000141.jpg,Sunil Naik,41,Vehicle Theft,Belagavi
000142.jpg,Vivek Das,54,Robbery,Kalaburagi
000143.jpg,Ajay Das,27,Smuggling,Mysore
